Product Name,Brand Name,Price,Rating,Reviews,Review Votes
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,1,"When I received the iphone,i found it is fake and inferior product,the back cover is renovated,the receiver has a noise when you have a call,screen light-leaking,in a word,it is a bad iphone.",2
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,Yes I like my 3G first I can't connect to Internet but finally I got it and I happy with my selection thank you very much,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,4,"Came in factory box unopened, my niece hasn't had one problem with it. Programmed so easy for her straight talk activation",2
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,I was using a an old iPhone 3 that a friend gave me and got to really like it. But then I accidentally got a lot of water on it and couldn't get it to work again. I bought another cheap mobile phone and was very dissatisfied with it--I wanted my iPhone back! I thought to look for a used iPhone on Amazon and was delighted to find many 3Gs for sale for under $100.00. It works great so far and I'm happy with it.,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,1,"I received the phone with the ""on"" button missing. I took it into the apple store and they said it was counterfeit and refused to fix it. I contacted the seller but they refused to do anything.",0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,"i got this phone as a gift for my nephew i have had iPhone 3gs before so i know how they work , the phone is in mint condition but did not come with a charger, the phone is factory unlocked as promised and did not ship in the amount of time that it should this is also understandable and acceptable once you use the phone for the first time.",0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,4,WORKING NICE AS PER EXPECTATIONS STILL I DID NOT COME ACROSS ALL THE FEATURES IT CONTAINS .PICTURE QUALITY IS EXCEPTIONAL.,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,1,I have trouble with receiving pictures . had to call my cell phone company and Im still having trouble. Its just wasn't what I expected. I also ordered the plastic cover and I still waiting for it. it now been 3 weeks,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,4,The only thing I don't like is that I can't receive pictures from other people. If I could do that it would be great.,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,"I bought it for my 14 years old, great condition exactly as describedI'll always use the seller and recommend to all my friends, great price and fast shipperThank you",1
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,A++++fast,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,all good,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,It was excellent. thanks,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,"excellent phone ,excellent seller",0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,1,The item's charger did not work and it seems as though this is a fake or replica iPhone. I will have to take it to the Apple Store to know for sure but I'm unhappy with the product besides the fact that it took over two weeks to get here.,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,Great product works great,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,1,it is not working.i like to return.. Very bad condition.it was not like i saw it in the add.it is totally garbage. i just trashed my money.,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,Perfect to use as ipod. Brand new.,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,Works great! Using it to help my grandma learn how to get up to date with technology!,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,1,"*** I GOT DUPLICATE IPHONE, AS SOON AS YOU GET THE PHONE PLEASE CHECK WHETHER IT IS ORIGINANL BY CALLING APPLE SUPPORT TO SAVE YOURSELF **** SELLER: WIRELESS MARKET""I bought the phone and it display gone bad within two months, and when I went to apple service center they checked the phone and said it is a duplicate product. And I said them that I got it from amazon. They said, they are facing many duplicate phone complaint from amazon purchases.I was further shocked!!!!I felt lonely and cheated by a big giant! I felt helpless. Depressed!!! It was a gift to my wife, and felt shame! felt insulted! Please be aware and save yourself..",0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,1,"I buy one, but I was think it new but when I receive it I find that it look old and used and like be repaired",0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,Excellent product!,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,"I haven,try it yet. I will be using overseas and I am travelling in two days.",0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,Works great,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,very good iphone 3gs.,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,2,The speaker desnot work.,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,great,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,Nice.,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,Nice phone as described great fast service,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,thanks,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,"I needed an unlocked 3gs iPhone to use with my T-Mobile account. This phone came in an Apple box, never been used or repaired. I checked out many sites before I settled on this seller and I'm glad I did.",1
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,4,"Nice phone, great value, I was looking for an iphone, but didnt want to pay $300 or $400 for a newer version, so I went with this 3gs. It arrived in like new condition with all the features of the iphone for a much more affordable price.",0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,1,"No recomiendo este vendedor, sus equipos son reconstruidos, el mio vino con problemas en la pantalla y estoy en venezuela es dificil que se me repare el daño!!!",0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,4,"I do not know where Tablet Distributors got these 3GS Iphones (mine came with 2010 manufacturing date) in almost impeccable condition - but it is true. Unlocked, in a new factory box. The only tell that it was ""in hands"" is that the supplied USB cord was actually for 4 version, and would not charge 3GS. No big deal - there are plenty of old cables around. 4 stars for that, but $237 deal is sweet. The same phone in Target would cost $150 more.It will work with almost any carrier except probably Verizon (I use cheap $30 T-mobile 5 GB plan, no contract and no activation fee). Be aware that 3GS Iphone uses normal, not mini SIM card. Mini SIM would work, but with the adapter.",3
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,todo perfecto como lo describianlo recomiendo.. sigan asi..todo perfecto como lo describianlo recomiendo.. sigan asi.. mejor imposibletodo perfecto como lo describianlo recomiendo.. sigan asi..todo perfecto como lo describianlo recomiendo.. sigan asi.. mejor imposible,0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,"The iphone is the same that the seller discribe. Is new, and work perfect.I recomend this product for all people who wants to have an iphone and don't want to pay to much por a cel phone.",0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,"Apple is as apple does....thank God! :-) love this phone! It works perfectly, was unlocked and came with clear instructions about how to connect to the iStore, etc. Love it. Mine was white, not black as pictured. I didnt care because it's covered anyway. But if you do care, you may want to make sure. Also, mine is slightly cracked, the shell on back, close to the charging inut. Does NOT interfere with operations but just FYI. I've chosen to keep it because it works perfectly. Arrived when expected. Good value for the price.",0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,1,I bought a phone and they sent me a damage one. Not recommended. I hate it completely. Not good at all.,1
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,4,"It's perfect, factory unlocked.Works well in Brazil.I already updated and no problem at all.Apple products are great.",0
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33,5,Great working order. Came packaged safely and wasn't moving around in the box. Was shipped out immediately. Greatly appreciated. Thanks.,0
