Product Name,Brand Name,Price,Rating,Reviews,Review Votes
"5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue",JUNING,99.99,5,"I purchased this phone as a gift and we were very pleased with the packaging and the purchase. It was so easy to set up with a prepaid SIM card and ready to go. The battery lasts almost the entire day, it's beautiful and clear, and even came with a case, screen protector and headphibes. You can't beat that for a brand new Android, for the price. A lot of people confuse it for a high end phone at first glance. Not bad at all.",0
"5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue",JUNING,99.99,1,"worked well for a little while, however phone is unable to send or receive picture messages from the very beginning. what's weirder though is that the phone recieves adds at random, the camera app has adds, sometimes just random adds on the home screen and now that the phone is a week outside the return window it no longer charges at all. an absolute piece of garbage, don't waste your money",0
"5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue",JUNING,99.99,1,I wrote more positive review for this phone but after having it bit longer. And have buy a second for my daughter both will be getting returned on Monday. The battery randomly drain even if on charger. And no apps running also can't buy replacement battery. Am a regular customer of Amazon generally have very little complaint on products when I but. DON'T waste your money.,0
"5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue",JUNING,99.99,1,"Not happy with this phone. Not able to get but 1 gh on this phone. I have been with T-Mobile for 5 years and been very satisfied with their service. Because this phone is foreign, neither TMobile or ATT were able to get a faster internet. It is very slow and very often says it cant open the page and says retry. Also, the screen of the phone began cracking within a week of having it. This phone is only good for making phone calls and texting.",0
"5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue",JUNING,99.99,1,Junk,0
"5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue",JUNING,99.99,2,Positive: Large screen is good for senior people. Cheap. Maybe ok for those people who don't use phone quite oftenNegative: doesn't cover WCDMA band in US. Only supports GSM network in US though it says WCDMA. Runs quite slow so that I have to slow down entering characters...,0
"5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue",JUNING,99.99,2,"I ordered two of these based on the reviews..however I am very disappointed as they don't work as advertised, especially the camera and video functionality. I do not recommend and will be returning them.",2
"5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue",JUNING,99.99,5," This phone is a very pretty looking phone. It offers a slim profile however still great battery length. The quality is great. I was really satisfied with both the video and sound the phone offers. I have to say the color of the phone is one of my favorite features. It's not a tacky gold color. It don't appear cheap. It's actually more of a flat yet metallic look. The phone is very comfortable to hold and definitely isn't heavy. The battery, sim card slot, and SD slot are very easy to access and use. For me, this is very beneficial as I have to swap batteries often since I have to be on mobile web many hours a day. I often have to store photos and files on the SD cards for work. I also flip my sim cards between phones for work as well. This phone made things more convenient for me. The next favorite feature is the hot spot and tethering. I tether often with work and home life. I live in a town where the internet is very slow, and when I turn my tethering on, I can accomplish all my tasks faster than if I had just used my home wifi. The phone comes preloaded with both apps and quick load tabs. If your a busy person on the run like I am, these features are lifesavers. I often have to swap back and forth between four apps, and use many internet pages all day long. The fast tabs stop you from typing in URLs incorrectly. This phone helps me in both my personal and work life. The phone holds signal better than the prepaid phone I use. The battery life seems to last longer as well. I really enjoy this phone. I've enclosed a video to see the features of the phone. I would recommend this phone. I received this phone for free or at a reduced rate in exchange for my honest opinion.",10
"5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue",JUNING,99.99,5,"Let me begin by saying that this is a wonderful cellphone. I was just impressed with all the quality, features and capabilities that it has. It's very comparable to leading Smartphones and IOS in the market today but at a reasonable price. When i opened the box, it contained all the accessories i need for the cellphone, you name it USB charger, manual, battery pack, headphones and also has extra case and screen protector that normally won't be included when you buy other cellphones. I love that it has dual camera, 2MP on the front and 5MP on back. This smartphone has all the features you would want like camera, messaging, bluetooth capability, WIFI, clock, calculator, wallpapers, calendar, email, GPS, FM, 3G and most of all can download tons of apps in the Play Store. I got the white color and just loves it, very light and thin, it downloads apps quickly, has very responsive touchscreen as well. I received this Smartphone at discount for an honest and unbiased review. All my reviews are completely my own and are based on my overall personal experience using the product. I leave reviews to help other customers make good buying decisions. I definitely would recommend this cellphone. What an excellent buy for what you get all in the package, plus it's unlocked so you can use it with any GSM providers. Not to mention it also has dual sim card slot and with great coverage. I'm very pleased with my new cellphone. It's definitely an Awesome buy!!!",4
"5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue",JUNING,99.99,5,"When I received this phone, I was very Impressed and the color are very cool we never had a color blue phone.Before I give the review I used it and I did try how good it is . For my own experience this phone it has a very bright and clear display and I really like thin frame ,light weight easy to hold very good quality super love love it..*** Lets talk about making a call ***This phone Has a very clear high quality sound when making and receiving calls I love to use it. Has a good signal reception works great to my T-Mobile prepaid simcard. I don't have any problem if I want to connect to the internet or free public Wifi very easy to access.I downloaded some Apps Amazon shopping , Messenger, Pandora and Farm heroes super saga etc. very fast Using this phone .***Camera Dual Camera and Dual Flash 2.0MP FRONT and 5.0MP Back *** clear and makes a good quality picture perfect for selfie.*** Dual simcard one slot for a regular simcard the one slot for the mini simcard and micro sd card on the bottom slot*** Bluetooth *** easy to pairing*** 5.5"" screen perfect for watching movie video and playing games *****I Purchased this product at a discounted price to exchange my honest review overall the phone has a great features I can highly recommend. I'm very satisfied with this juning 5.5 unlocked smartphone if I have any problem I will review it again. 5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone BluePackage came with : Phone name brand :Juning 5.5 ( MODEL :Z8 )1X CHARGER1X MANUAL1X USB1X CASE1X HEADSET1X SCREEN PROTECTOR",6
"5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue",JUNING,99.99,4," This phone is pretty neat. For the price, it’s impressive – especially because it is unlocked and can be used with any carrier that has a large SIM card. This phone does not support 4G LTE internet, but does support 3G. This only means that the internet is a tad slower than some other phones that support 4G. It operates much like other android/google phones that I have come into contact with. It features a quad core processor, 1GB RAM, a 2.0 megapixel front camera and 5.0 megapixel back camera. It also includes dual flash, one on the front and one on the back which is pretty impressive. Wifi is enabled and it can be run off the wifi at home if there is no SIM card currently available. The back of the phone is very flexible but thin so be careful taking the back off – there is a small piece of tape over the battery connector to make sure the battery is charged before use. There are currently no cases available for the phone so be careful when handling it, overall, I’m very happy with the phone. It does everything that I need it to do and is an affordable alternative to shopping at the store (where its more expensive). It supports many apps, its a mobile hotspot, Youtube, Facebook, emails, messaging, Bluetooth, music, and more!Pros:• Affordability• Functionality (Wifi + Data)• Can be used on most carriers• Huge screen• Front and back flash• Quad core processor• Comes with a screen protector and clear case• Large font optionsCons:• Lack of cases and accessories for the phone• Camera quality could be improved• Support for 4G would be nice• Very slight sound distortion when using speakers all the way up for musicI would definitely repurchase this, it is perfect for my mother who uses her phone at work and to message on Facebook.I received this item for free in exchange for an honest, unbiased, and authentic review. I have thoroughly tested any product I review - I take pride in informing potential customers about the perks and flaws of products. I have no affiliation with the seller and am not obligated to leave a positive review.",2
"5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue",JUNING,99.99,5," 5.5"" Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue arrived in good condition and good packaging.I am so excited to finally receive this cell phone, it will be a gift for my nephew back home. Once I received it, I immediately began to charge it and was able to start the phone successfully. The operating system works perfectly and all the necessary updates make for fast and smooth operation. The camera is very powerful and produces excellent pictures. The built in microphone is very good and records audio very clearly. The video record and playback function is seamless and smooth. I also like the size of the phone and it has a good solid feel and weight. This cell phone came with a screen protector already installed and additional screen protectors in the package. This cell phone is very easy to use. I especially like having a dual sim option so that I can have a my work phone number be separate from personal number. This phone is very affordable and looks great!I love this cell phone and would absolutely recommend it to anyone.I received this cell phone at a reduced or discounted price in exchange for my honest and unbiased review.",0
