Product Name,Brand Name,Price,Rating,Reviews,Review Votes
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,5,The IPad mini 3 was in perfect shape aND works flawlessly. Great way to save money.,5
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,5,"Really good, new and cheap,",1
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,5,"If U don't have an iPad, U don't have an iPad ;)I recommend getting the 64GB... Once U go Apple U won't go Back",10
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,5,"I bought this for my sons 9th birthday, and he really likes it!",3
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,5,Delivered as promised,1
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,5,It was everything that I wanted! I am very happy with it,2
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,4,good,1
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,1,"Not even a month old and this ""refurbished"" item stopped working. Crap.",5
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,2,"I was happy with the size, but it got hot when plugged in and that concerned me, so I returned it.",2
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,5,"exactly as described, very pleased",1
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,5,Came fast and was in perfect condition. Works great and has no problems.,1
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,5,Good product. Fast delivery.,0
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,1,"iPad will not turn on. Just get a white screen with the apple logo. Have had problems intermittently with it, but nothing a quick restart didn't fix. Should have known better. I wouldn't recommend buying these.I have contacted the seller and have not heard back from them at this point. Will update.",1
"Apple iPad Mini 3 MGYE2LL/A NEWEST VERSION (16GB, Wi-Fi, Gold) (Certified Refurbished)",,259.99,2,Works fine but there's some kind of blue pixel blob on it.. and the back had a dent in it. Meh.,2
