Product Name,Brand Name,Price,Rating,Reviews,Review Votes
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,5,good,0
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,1,according to specs this phone was supposed to work with my track phone sim card,0
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,5,"For any further clarification, please contact us",0
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,1,Sounded like both the person I called and I were under water...,1
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,1,"This phone is huge! doesn't fit in pocket and has poor instructions. (Can't figure out how to turn on the light).Also, the phone won't work with my sim card which works in other phones. This was a total waste of money for us. We can't use it.",1
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,4,Haven't used it too much but seems to work well. Battery lasts a long time!,1
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,5,Get it for my father in law since my mother in law say that he say he can't hear the ringtone so now he complain is too loud which is good he hear it. Other than that love it so much that he finally don't complain he can't hear it anymore but now complain too loud hahaha,0
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,2,Wouldn't allow me to transfer contacts.,0
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,4,You can here it ring but you can't talk on it to low and I don't. Use mind now,3
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,5,good,0
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,1,according to specs this phone was supposed to work with my track phone sim card,0
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,5,"For any further clarification, please contact us",0
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,1,Sounded like both the person I called and I were under water...,
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,1,"This phone is huge! doesn't fit in pocket and has poor instructions. (Can't figure out how to turn on the light).Also, the phone won't work with my sim card which works in other phones. This was a total waste of money for us. We can't use it.",
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,4,Haven't used it too much but seems to work well. Battery lasts a long time!,
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,5,Get it for my father in law since my mother in law say that he say he can't hear the ringtone so now he complain is too loud which is good he hear it. Other than that love it so much that he finally don't complain he can't hear it anymore but now complain too loud hahaha,0
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,2,Wouldn't allow me to transfer contacts.,0
5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Orange),VKworld,88.99,4,You can here it ring but you can't talk on it to low and I don't. Use mind now,3
